datafile,sampname,variety,type,flavor,flowers,dry wt,Acetic acid butyl ester,Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,Eucalyptol,β-Ocimene,Benzeneacetaldehyde,ɣ-Terpinene,cis-Linalool oxide,trans-Linalool oxide,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,ɑ-Terpineol,Estragole,Fenchyl acetate,cis-Geraniol,trans-Geraniol,Cuminal,Citral,Bornyl acetate,"1,5,5-Trimethyl-6-methylene-cyclohexene","Unknown 43, 69, 55",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyleugenol,β-Elemene,Isolongifolene,cis-Bergamotene,"Unknown 95, 161, 107",Aromadendrene,Longifolene,β-Ylangene,β-Caryophyllene,ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,(+)-epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 43, 81, 105",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",Benzenecycloheptene,β-Elemenone,"Unknown 71, 43, 79",Spathulenol,"Unknown 109, 81, 43",Thymyl tiglate,Epicubenol,Methyl jasmonate,tau-Cadinol,"Unknown 161, 204, 105","Unknown 43, 105, 204",2-(1-phenylethyl)-Phenol,"Unknown 43, 55, 93","Unknown 43, 95, 41","2,6,10,14-Tetramethyl-7-(3-methylpent-4-enylidene) pentadecane","Unknown 161, 204, 43","Unknown 161, 43, 205"
basil0622_36.D,36ltc42t1,lettuce,flower,swt bas,17,0.2145,0,136.5012279,327.0448814,1165.600097,0,5504.676371,0,253.4934566,493.2567422,923.5341139,0,31186.72578,211.9035536,43.06885785,257.8110751,6.27543137,148.7007438,0,0,316.4694352,0,0,370.3520919,37.62733994,454.1532732,2948.97606,51.32335618,0,128.4756522,7.76243876,8135.97216,0,0,0,0,0,3364.358667,0,0,2314.456116,2212.670094,292.7547879,4661.651965,0,773.2995673,390.145736,26.68052496,2576.915566,247.2269036,0,0,0,2979.857092,3033.596386,2424.587728,228.1945203,73.004077,113.3614462,39.08619384,0,22.84999716,688.206651,0,0,0,0,214.5202952,12.5666737,1642.320894,0,207.8050469,0,186.5875766,120.5769425,0,149.5851098,337.1933951
basil0622_80.D,80gdc86t2,lettuce,flower,swt bas,11,0.164,0,0,0,0,198.2923028,522.4932666,66.25662214,0,0,0,0,2908.405296,944.9511813,180.6532627,77.19321318,27.4917809,93.35736037,0,0,417.0020278,0,274.5694691,44.62924852,0,84.86110551,1293.271378,0,0,0,0,968.3188474,0,0,0,0,0,458.5619947,23.49352288,185.9100522,130.8714859,374.532559,0,595.7069356,0,183.5643192,91.27169546,0,338.3521445,47.87559635,0,0,0,114.0939544,286.1781388,529.8808624,0,0,0,0,0,0,0,0,0,0,0,60.42500347,0,563.5483241,0,190.4668693,0,133.5249264,0,0,0,0
basil0622_23.D,23amc43t1,lime,leaf,pungent,1,0.023,0,0,0,0,361.0827291,882.8295091,0,0,0,0,0,0,2574.918704,0,0,745273.6166,0,0,0,5001.119727,0,0,0,0,564.9015506,0,704.4358545,0,13398.87792,669.8941102,1964.581424,26715.97445,0,50814.55039,9277.101467,47516.78454,0,3588.15971,8207.370172,0,2526.500257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511.642685,1030.898667,0,0,0,0,0,0,0,323.0209152,176.6361694,1382.39712,0,0,17738.68968,13307.73766,0,0,0,697.2465319,0
basil0622_59.D,59lic0t2,lime,flower,pungent,9,0.1344,0,0,0,0,437.385698,0,0,0,0,0,0,0,962.2800739,0,0,72003.29544,0,0,0,534.595503,0,0,0,0,68.31411756,0,0,0,151.2679279,30.62581262,247.5122697,263.5149369,0,492.414037,0,462.1537402,291.2857051,824.4942442,1272.16781,0,0,0,0,0,88.87918525,0,0,317.9698055,0,0,0,0,0,0,0,70.43437229,494.5331016,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.085377,674.9344886,0,0,0,0,0
basil0622_77.D,77lic2t2,lime,flower,pungent,5,0.0787,0,0,0,0,2027.710423,0,0,0,0,0,0,0,1599.846744,0,0,178179.4913,0,0,0,1454.497473,0,0,0,0,167.2498511,0,0,44.35052228,0,245.2428607,290.2664275,0,107.8582413,0,0,0,876.2640261,2435.684644,3876.36631,0,79.21301764,49.75892137,1004.696057,0,261.2686668,0,0,633.0956821,0,0,0,0,994.993977,0,0,182.5681045,1804.834061,0,0,0,0,0,0,0,0,0,0,0,0,0,547.7522959,0,0,0,47.01393052,0,0
basil0622_78.D,78lic22t2,lime,flower,pungent,9,0.0845,0,0,0,0,126.9569025,0,0,0,0,0,0,71.93479549,1204.624211,0,0,82039.23648,0,45.59107409,0,942.6733322,0,0,0,0,367.0216246,0,0,24.43404062,0,110.2815342,314.245916,0,0,0,0,0,941.3419553,1570.086669,2116.946328,0,0,15.68641072,910.97189,0,158.4528451,26.838965,0,857.8044287,0,0,0,0,428.5480081,45.48985883,0,116.9759358,876.2870036,0,0,0,0,0,0,341.4316003,0,0,0,0,0,0,357.6943478,0,0,0,23.89090918,0,0
basil0622_03.D,3mmc16t1,mammolo,flower,eucalyptol,24,0.446,343.948413,7.74803021,18.72051608,20.65929682,0,109.7741366,137.2609733,0,0,24.33037454,16.20059461,525.1670769,159.1764199,8.27152526,6.13139907,0.96061136,11.92200413,0,0,59.93668288,0,16.74982725,1.57767511,5.47938394,0,39.14814756,0,0.61467288,1.81465207,0,71.19465759,0,0,0,0,0,18.74567068,0,908.9243737,0,40.70060921,0,43.20036142,0,0,4.91279018,0,48.47721509,45.04169794,13.95762538,11.078147,10.5688015,44.38079246,12.54103014,54.24490387,8.96813651,2.38737953,2.61845048,0,0,4.34513302,7.29745402,0,0,0,0,3.50964544,0,24.44868125,2.7652686,7.34390932,0.37585006,0,0,3.137633,0,0
basil0622_09.D,9mmc46t1,mammolo,leaf,eucalyptol,1,0.0726,77543.97559,4167.395228,11972.64731,11930.26208,0,141431.1266,25912.50052,16629.29093,0,548.6117737,781.1248298,109338.9933,0,0,2271.080372,206.2780854,0,0,0,8496.004892,0,1931.784165,0,1616.262019,0,14812.30992,0,70.68921963,0,0,0,318.1552027,0,0,8552.964596,438.1650359,552.6871179,0,102951.5375,0,1856.801504,0,2708.788376,0,0,525.6548625,0,266.6414614,0,0,478.7011167,630.3723637,4352.730698,509.9474628,6072.732749,0,0,0,0,0,1286.483904,0,0,0,0,763.327901,404.6116618,0,2986.170189,695.0461991,2202.565911,985.3777131,0,0,0,0,0
basil0622_27.D,27mmc43t1,mammolo,flower,eucalyptol,11,0.3398,1554.394808,36.32105631,104.3888302,162.905449,0,850.1108247,683.8869636,500.0383489,6.55245058,0,0,6257.127351,239.5103044,62.49443113,60.28100836,0,70.20520296,0,0,162.2246488,0,152.3637201,23.5179026,49.95240267,0,917.1251676,0,0,7.4049338,1.01822404,448.2931947,0,0,0,0,0,151.1736215,0,3599.873618,0,166.7349039,0,303.4031874,0,0,33.91044461,0,359.0167013,390.4522835,0,31.54280731,0,250.4769464,148.2854408,280.350135,24.01385221,6.46013194,13.36253319,13.54040869,0,52.0448138,20.02361054,0,0,0,0,30.53216635,0,273.9808905,0,0,0,0,0,9.86868248,0,0
basil0622_56.D,56mmc42t2,mammolo,flower,eucalyptol,22,0.3025,0,18.99360559,50.8231766,168.7601709,12.6276065,1061.02088,1114.066377,0,0,191.2322897,0,9818.204515,489.6759998,64.56455327,64.79773826,0,20.2303357,0,0,155.178154,0,198.9104236,29.75240263,0,0,468.8095307,0,3.55644153,19.21199296,0,1150.720885,0,203.7698175,111.9788671,0,0,452.8858541,0,7252.753145,0,666.3840056,0,849.4373656,29.62140448,236.2436712,150.91968,0,1591.452608,148.9456391,0,0,0,655.0022806,563.4969907,618.8394547,37.35661348,11.12355953,25.34927711,17.2742897,9.12118003,0,58.5190787,0,0,0,0,49.4406036,0,446.0325541,0,111.4964923,15.15376479,66.19485248,0,0,0,0
basil0622_68.D,68mmc84t2,mammolo,flower,eucalyptol,30,0.2816,0,13.10441072,36.65297489,239.2664796,0,609.5609061,645.4611128,0,0,0,0,13989.38737,633.2088433,186.3059602,143.629497,0,22.27997798,0,0,221.0295794,0,514.6696099,78.69530281,0,77.7795596,2288.855747,13.71510197,0,30.88147805,1.52437989,1986.649541,0,0,53.78879923,0,0,930.3924709,0,6967.226555,0,576.0152181,15.9659369,1342.266011,0,296.1117738,158.698029,5.485988,710.6313591,283.4865188,130.8414252,88.52626817,0,1097.242245,543.2689648,861.5633878,52.07203097,18.70367358,37.33458216,21.96834988,5.12629036,0,290.0713794,0,0,0,0,110.6684193,0,884.8382124,0,124.3770512,0,96.20398963,41.85885597,7.43280447,10.20586462,24.8136858
